Date,round,winnerP1,HP1,HP2,Depth P1,DepthP2,AvgTimeBEGP1,AvgIterBEGP1,AvgTimeBEGP2,AvgIterBEGP2,AvgTimeMBMGP1,AvgIterMBMGP1,AvgTimeMBMGP2,AvgIterMBMGP2
30/12/2022,11,False,False,False,2,2,,,,,0.10886958333333514,1926.8333333333333,0.1238203500000002,2171.0
30/12/2022,23,False,False,False,2,2,,,,,0.14046620000000232,2335.5,0.26392290833333476,2693.5
30/12/2022,4,True,False,False,2,2,,,,,0.20820563333333078,3588.0,0.17193149999999235,2669.5
30/12/2022,15,False,False,False,2,2,,,,,0.16180895000000106,2844.0,0.17418006250000317,3132.875
30/12/2022,12,True,False,False,2,2,,,,,0.1857828428571407,2977.4285714285716,0.15243603333333056,2639.3333333333335
30/12/2022,9,False,False,False,2,2,,,,,0.0977259800000013,1588.4,0.06453317999999797,1141.4
30/12/2022,12,True,False,False,2,2,,,,,0.14055562857142587,2474.285714285714,0.12260316666666189,2145.6666666666665
30/12/2022,9,False,False,False,2,2,,,,,0.13057757999999636,2289.0,0.10569818000000453,1865.2
30/12/2022,10,True,False,False,2,2,,,,,0.16206178333333554,2838.8333333333335,0.17157846000000063,3120.6
30/12/2022,31,False,False,False,2,2,,,,,0.07830150625000076,1372.0,0.08083181249999871,1379.4375
30/12/2022,20,True,False,False,2,2,,,,,0.1327300181818161,2269.090909090909,0.117471850000004,2034.1
30/12/2022,4,True,False,False,2,2,,,,,0.24682436666666283,3908.6666666666665,0.13670150000000092,2393.0
30/12/2022,21,False,False,False,2,2,,,,,0.08060359999999957,1391.1818181818182,0.06565526363636112,1111.2727272727273
30/12/2022,4,True,False,False,2,2,,,,,0.2482864333333339,4199.666666666667,0.16533319999999918,2925.0
30/12/2022,11,False,False,False,2,2,,,,,0.1867870499999995,3095.3333333333335,0.14423508333333027,2574.6666666666665
30/12/2022,35,False,False,False,2,2,,,,,0.09813461111110892,1710.2222222222222,0.16357513888888933,1524.5
30/12/2022,4,True,False,False,2,2,,,,,0.23592586666666668,4049.3333333333335,0.23917044999999604,4084.5
30/12/2022,13,False,False,False,2,2,,,,,0.14155865714285604,2502.0,0.11347544285714507,2010.142857142857
30/12/2022,5,False,False,False,2,2,,,,,0.2553263666666652,4019.0,0.22172063333333844,4055.3333333333335
30/12/2022,12,True,False,False,2,2,,,,,0.15498261428571222,2657.714285714286,0.13601785000000177,2375.8333333333335
30/12/2022,4,True,False,False,2,2,,,,,0.19729256666667064,3441.0,0.16755479999999778,2907.0
30/12/2022,11,False,False,False,2,2,,,,,0.19126726666666372,3171.0,0.38166828333333314,2738.1666666666665
30/12/2022,12,True,False,False,2,2,,,,,0.11806655714285544,2030.7142857142858,0.09038221666666146,1602.0
30/12/2022,4,True,False,False,2,2,,,,,0.1962947333333318,3526.3333333333335,0.17575029999999714,2993.0
30/12/2022,4,True,False,False,2,2,,,,,0.26652936666666943,4642.0,0.15952484999999683,2968.0
30/12/2022,13,False,False,False,2,2,,,,,0.11421501428571292,1981.142857142857,0.10253021428571125,1756.7142857142858
30/12/2022,14,True,False,False,2,2,,,,,0.17557776249999613,3132.0,0.16841047142857438,3009.4285714285716
30/12/2022,7,False,False,False,2,2,,,,,0.1728273250000001,3045.0,0.13024659999999244,2300.75
30/12/2022,4,True,False,False,2,2,,,,,0.213549866666663,3483.3333333333335,0.18148474999999564,2799.0
30/12/2022,17,False,False,False,2,2,,,,,0.17638598888889115,2592.4444444444443,0.16738507777777537,2382.6666666666665
